Country Name,Country Code,Time,Time Code,"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]",Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS]
Pakistan,PAK,2022,YR2022,19.87385996,13.75863386,0.3899807535,13.20919413,204.8671875,3.162974521
Pakistan,PAK,2021,YR2021,9.496210561,11.93471622,0.6160394391,12.86849895,162.9062537,3.391711681
Pakistan,PAK,2020,YR2020,9.739993139,11.41607343,0.6846952899,14.99380499,161.8384797,3.48667909
Pakistan,PAK,2019,YR2019,10.5783618,12.58727459,0.6961464804,10.73618553,150.0362538,3.505840316
Pakistan,PAK,2018,YR2018,5.078057259,11.60274316,0.4877457507,10.03770896,121.8240689,3.586961764
Pakistan,PAK,2017,YR2017,4.08537368,11.29934591,0.7358370497,11.80993043,105.4551621,3.364449103
Pakistan,PAK,2016,YR2016,3.765119164,11.21091675,0.8213499981,12.50835057,104.769117,3.203776716
Pakistan,PAK,2015,YR2015,2.529328173,12.30144209,0.557734356,12.09752334,102.7692716,3.162986645
Pakistan,PAK,2014,YR2014,7.189384028,13.41402629,0.6953081168,11.72852878,101.1000884,3.096579697
Pakistan,PAK,2013,YR2013,7.692156119,13.32076285,0.5153538493,10.20374491,101.6288992,3.088020035
Pakistan,PAK,2012,YR2012,9.682351861,13.73907621,0.3434530487,11.05996232,93.39519722,3.095773537
Pakistan,PAK,2011,YR2011,11.91609271,13.38113593,0.5750551458,11.94970953,86.34338333,2.919243184
Pakistan,PAK,2010,YR2010,12.93887056,13.03550037,1.027911081,13.044965,85.19381633,3.041893265
Pakistan,PAK,2009,YR2009,13.64776506,12.53946637,1.248013055,11.3416776,81.71289167,3.265223993
Pakistan,PAK,2008,YR2008,20.28612109,13.25628901,2.689366561,11.85046959,70.40803333,3.459371004
Pakistan,PAK,2007,YR2007,7.598684411,12.48148456,3.035719338,8.863541635,60.73851583,3.5119861
Pakistan,PAK,2006,YR2006,7.921084401,12.61423338,2.639750062,10.2590317,60.271335,3.645255204
Pakistan,PAK,2005,YR2005,9.06332737,11.76255638,1.515750831,10.40091343,59.514475,3.897019393
Pakistan,PAK,2004,YR2004,7.444624693,10.45295151,0.8455857016,10.00146149,58.25786333,3.956034117
Pakistan,PAK,2003,YR2003,2.914134701,9.557900858,0.4752077118,11.28706972,57.75199667,4.091427187
Pakistan,PAK,2002,YR2002,3.290344726,9.373964074,0.8435173001,11.88237165,59.72378167,4.073770168
Pakistan,PAK,2001,YR2001,3.148261446,9.505079703,0.3891065865,12.20887971,61.92716167,3.878933945
Pakistan,PAK,2000,YR2000,4.366664513,9.094197863,0.3095950263,13.76728194,53.6481865,4.168722714
Pakistan,PAK,1999,YR1999,4.142637181,14.41352528,0.8447950066,16.36689555,49.50069158,5.189899265
Pakistan,PAK,1998,YR1998,6.228004154,14.68258059,0.8136100455,20.28508511,45.04666667,5.415095044
Pakistan,PAK,1997,YR1997,11.37549289,14.56036127,1.14722858,18.57495504,41.111525,5.621216489
Pakistan,PAK,1996,YR1996,10.37380859,14.60800604,1.456054495,14.8156869,36.07868333,6.037166305
Pakistan,PAK,1995,YR1995,12.34357852,14.61781361,1.19175194,17.50423865,31.64268333,5.820225283
Pakistan,PAK,1994,YR1994,12.36819439,15.70608805,0.8051189411,15.23,30.56659167,5.923548293
Pakistan,PAK,1993,YR1993,9.97366476,15.44935299,0.6727600119,14.21814615,28.10718333,6.427312623
Pakistan,PAK,1992,YR1992,9.509041462,15.42300755,0.6883136241,15.07939671,25.08279167,6.698187549
Pakistan,PAK,1991,YR1991,11.79127034,15.56339408,0.5663837373,12.15745616,23.80076667,6.570952788
Pakistan,PAK,1990,YR1990,9.052131553,15.46002479,0.6129976619,17.35378521,21.707375,6.522320235
Pakistan,PAK,1989,YR1989,7.844264737,14.7473514,0.5242572003,14.5683,20.54149167,6.532725256
Pakistan,PAK,1988,YR1988,8.837937018,14.94205562,0.4847368389,14.24422,18.00329167,6.785810731
Pakistan,PAK,1987,YR1987,4.681218546,14.99618327,0.3879211731,13.80618117,17.3988,6.971880084
Pakistan,PAK,1986,YR1986,3.506414248,14.74757644,0.3314527089,17.84973459,16.64750833,6.991656011
Pakistan,PAK,1985,YR1985,5.614839218,14.31642441,0.4218641393,18.88957157,15.92839167,6.922133598
